opene;consc;extra;agree;neuro;id
1.1;2;0.5;2.666666667;3.083333333;1
2.2;2.833333333;3;2.833333333;1.666666667;2
2;3.25;2.416666667;2.666666667;1.666666667;3
1.6;3.090909091;1.833333333;2.25;2.916666667;4
2.3;1.75;1.416666667;1.75;3.083333333;5
2.9;0.5;0.833333333;2.25;3.5;6
3.5;2.75;1.333333333;1.916666667;2.916666667;9
1.2;2.833333333;1.583333333;2.75;2.083333333;10
2.4;2.5;2;2.333333333;2.083333333;11
2.8;2.666666667;1.75;2;1.833333333;12
3;1.583333333;1.75;3;2.25;13
3;3.416666667;3.25;3.916666667;1.25;14
2.1;3;1.833333333;2.333333333;1.833333333;15
3.3;3.583333333;2.5;2.25;2.181818182;16
2.4;0.5;2.166666667;3.083333333;3.083333333;17
2.2;2.083333333;2;2.166666667;3;18
2;3;2.181818182;3.416666667;2.916666667;19
3.2;3.583333333;3.083333333;2.666666667;1.25;20
2.7;2.25;2.333333333;1.916666667;3.5;21
2;2;1.909090909;2;1.75;22
1.9;2.333333333;2.583333333;2.545454545;2.416666667;23
1.6;2.363636364;2;2.166666667;2;24
2.3;3;1.833333333;2.166666667;1.583333333;26
2.6;1.333333333;1.5;3;2.25;28
2.9;2.416666667;1.916666667;2.833333333;1.916666667;29
2.3;2.5;1.666666667;2.666666667;1.916666667;30
2.5;1.25;0.583333333;2.083333333;2;31
2;2.333333333;1.166666667;2.833333333;3.25;32
2.4;1.833333333;1.5;2.583333333;2.666666667;33
2.3;3.25;1.166666667;3.25;2.5;34
2.2;2.833333333;2.5;3.25;2.166666667;35
1.6;3;1.333333333;2.833333333;2;36
3.4;2.666666667;2.25;3.333333333;2.666666667;37
3;2.833333333;1.833333333;2.916666667;2.666666667;38
1.4;3.25;1.666666667;3.666666667;1.5;39
1.5;2.666666667;1.833333333;3.166666667;2.25;40
2.7;3;2;2.083333333;2.25;41
2.9;0.5;0.75;3.333333333;3.5;43
2;1.666666667;1.333333333;2.166666667;3.166666667;44
2.4;2.416666667;1.75;2.083333333;1.583333333;46
1.9;2.916666667;2.666666667;2.666666667;1.5;47
2.1;2.916666667;2;3.083333333;2.833333333;48
2.5;2.75;1.666666667;3.166666667;2.083333333;49
1.8;3.083333333;2.75;2.75;1.833333333;50
2.9;2.75;2.333333333;2.833333333;2.416666667;51
3.3;3.2;2.333333333;2.583333333;1.5;52
2.3;2.416666667;2;2.166666667;2.166666667;53
3.1;3.333333333;2;3.416666667;0.666666667;55
2.4;2.727272727;1.916666667;2.166666667;2.416666667;56
3;1;1;1.666666667;3;57
3;1.333333333;0.666666667;2.083333333;2.916666667;58
2.2;3.833333333;2.25;3.5;2;59
2.8;1.916666667;2.166666667;3.083333333;2.333333333;60
1.3;2.416666667;1.416666667;1.833333333;2.916666667;62
1.4;2.833333333;1.916666667;3;2.333333333;63
2.7;2.166666667;2.083333333;2.083333333;2.583333333;64
2.6;1.833333333;2.416666667;2.166666667;1.833333333;65
2.3;3.25;2.166666667;1.75;2.416666667;67
2.7;1.75;1.916666667;2.666666667;2.5;68
2.6;2.833333333;2.5;2.5;2.333333333;69
2.1;2.75;2.583333333;2.416666667;1.5;70
1.9;4;2.666666667;3.166666667;1.583333333;71
2.9;3;2.272727273;3.166666667;1.666666667;73
2.5;2.916666667;0.5;1.916666667;2.166666667;74
3.3;2.75;2.454545455;3;1.416666667;76
2.8;1.833333333;1.5;2.916666667;2.166666667;77
2.5;2.416666667;1.909090909;2.75;3;78
2.1;3.583333333;1.833333333;3.5;1.333333333;79
2.8;2.833333333;2.5;3.416666667;1.666666667;80
3.5;2.727272727;1.833333333;1.090909091;1.416666667;81
3.2;2.583333333;1.333333333;2;3.416666667;83
3;3.5;2.916666667;3.25;2.416666667;84
1.8;1.5;0.75;1.583333333;2.636363636;85
1.8;1.833333333;1.916666667;2.333333333;2;86
1.9;2;2.166666667;2.333333333;2.5;87
2.4;1.5;1.083333333;2.5;3;88
2.3;1.7;1.454545455;1.666666667;1.666666667;89
2;2.166666667;1.75;1.916666667;2.416666667;91
2.5;2.75;1.916666667;2.454545455;1.833333333;94
3.2;1.75;1.416666667;3;3;95
2.1;1.25;1.416666667;2.333333333;3.166666667;97
2.777777778;2.166666667;1.5;2.333333333;3.272727273;98
2.2;2.833333333;2.75;3.333333333;1.25;99
3.5;2.25;2.5;2.416666667;2.25;101
2.6;2.75;1.416666667;3.416666667;2.416666667;102
1.9;2.166666667;2.416666667;2.833333333;1.166666667;103
2.9;1.083333333;1.833333333;3.083333333;2.75;104
2.9;3;2.5;3.083333333;1.166666667;105
2.5;1.75;2.083333333;2.166666667;2.666666667;106
2.9;2.75;2.5;3.083333333;1.75;107
2.6;3.583333333;1.416666667;2.363636364;2.25;108
2.2;2;1.333333333;2.75;2.75;109
3.1;3.833333333;2.25;3.416666667;1;110
3.2;2.5;1.083333333;3.583333333;1.5;111
1.8;1.6;1.666666667;2.090909091;3.090909091;112
2.8;2.5;2.666666667;2.083333333;2.166666667;113
2.3;2.166666667;1.416666667;2.333333333;3.166666667;114
2;3.583333333;1.833333333;2.909090909;2.25;115
3.5;1.416666667;1;2.75;3.363636364;116
